BLOCK,TRANSECT,PLOT,MODULE,SUBMODULE,CORNER,SAMPLING_ID,SPECIES,SPECIES_CORRECTED,SPCODE,FREQUENCY,DATE,DATE_CORRECTED,>1M,CONERCONER,DATE OF FIRE,TIME SINCE FIRE (DAYS),SPECIES_NEW_NAMES,NEW_SPCODE,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,DICHANTHELIUM ACICULARE    ,DICHANTHELIUM ACICULARE,DICACI,5,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,DICHROMENA COLORATA      ,DICHROMENA COLORATA,DICCOL,2,02/02/98,1998-02-02,,,,,RHYNCHOSPORA COLORATA,RHYCOL,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,ELYTRARIA CAROLINIENSIS    ,ELYTRARIA CAROLINIENSIS,ELYCAR,5,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,EVOLVULUS SERICEUS       ,EVOLVULUS SERICEUS,EVOSER,5,02/02/98,1998-02-02,, ,,,,,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,HYPERICUM HYPERICOIDES     ,HYPERICUM HYPERICOIDES,HYPHYP,6,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,HYPTIS ALATA          ,HYPTIS ALATA,HYPALA,6,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,IPOMOEA SAGITTATA       ,IPOMOEA SAGITTATA,IPOSAG,2,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,JUSTICIA OVATA         ,JUSTICIA OVATA,JUSOVA,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,LOBELIA GLANDULOSA       ,LOBELIA GLANDULOSA,LOBGLA,4,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,LUDWIGIA MICROCARPA      ,LUDWIGIA MICROCARPA,LUDMIC,5,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,MELANTHERA ANGUSTIFOLIA     ,MELANTHERA ANGUSTIFOLIA,MELANG,8,02/02/98,1998-02-02,,,,,MELANTHERA NIVEA,MELNIV,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,MIKANIA SCANDENS        ,MIKANIA SCANDENS,MIKSCA,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,MUHLENBERGIA FILIPES      ,MUHLENBERGIA FILIPES,MUHFIL,8,02/02/98,1998-02-02,,,,,MUHLENBERGIA CAPILLARIS VAR. FILIPES,MUHCAPFIL,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,PROSERPINACA PALUSTRIS     ,PROSERPINACA PALUSTRIS,PROPAL,5,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,RUELLIA CAROLINIENSIS     ,RUELLIA CAROLINIENSIS,RUECAR,5,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,SISYRINCHIUM MIAMIENSE     ,SISYRINCHIUM MIAMIENSE,SISMIA,7,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,SOLANUM DONIANUM        ,SOLANUM DONIANUM,SOLDON,2,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,TEUCRIUM CANADENSE       ,TEUCRIUM CANADENSE,TEUCAN,3,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,EUPATORIUM COELESTINUM   ,EUPATORIUM COELESTINUM,EUPCOE,22,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,BUMELIA RECLINATA       ,BUMELIA RECLINATA,BUMREC,38,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,CENTELLA ASIATICA       ,CENTELLA ASIATICA,CENASI,13,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,CHLORIS RADIATA        ,CHLORIS RADIATA,CHLRAD,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,CLADIUM JAMAICENSE       ,CLADIUM JAMAICENSE,CLAJAM,91,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,CYNOCTONUM SESSILIFOLIUM    ,CYNOCTONUM SESSILIFOLIUM,CYNSES,6,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,DICHANTHELIUM ACICULARE    ,DICHANTHELIUM ACICULARE,DICACI,11,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,DICHROMENA COLORATA      ,DICHROMENA COLORATA,DICCOL,9,02/02/98,1998-02-02,,,,,RHYNCHOSPORA COLORATA,RHYCOL,
F1,1,1,2,1,A,F1_1_1_2_1_A,DIODIA VIRGINIANA       ,DIODIA VIRGINIANA,DIOVIR,13,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,DYSCHORISTE ANGUSTA      ,DYSCHORISTE ANGUSTA,DYSANG,5,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,ELYTRARIA CAROLINIENSIS    ,ELYTRARIA CAROLINIENSIS,ELYCAR,47,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,EUPATORIUM LEPTOPHYLLUM    ,EUPATORIUM LEPTOPHYLLUM,EUPLEP,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,EUPATORIUM MIKANOIDES     ,EUPATORIUM MIKANIOIDES,EUPMIK,7,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,EVOLVULUS SERICEUS       ,EVOLVULUS SERICEUS,EVOSER,20,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,HYPERICUM HYPERICOIDES     ,HYPERICUM HYPERICOIDES,HYPHYP,14,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,HYPTIS ALATA          ,HYPTIS ALATA,HYPALA,41,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,IPOMOEA SAGITTATA       ,IPOMOEA SAGITTATA,IPOSAG,16,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,JUSTICIA OVATA         ,JUSTICIA OVATA,JUSOVA,21,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,LOBELIA GLANDULOSA       ,LOBELIA GLANDULOSA,LOBGLA,13,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,LUDWIGIA MICROCARPA      ,LUDWIGIA MICROCARPA,LUDMIC,36,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,MELANTHERA ANGUSTIFOLIA     ,MELANTHERA ANGUSTIFOLIA,MELANG,22,02/02/98,1998-02-02,,,,,MELANTHERA NIVEA,MELNIV,
F1,1,1,2,1,A,F1_1_1_2_1_A,MIKANIA SCANDENS        ,MIKANIA SCANDENS,MIKSCA,40,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,MUHLENBERGIA FILIPES      ,MUHLENBERGIA FILIPES,MUHFIL,78,02/02/98,1998-02-02,,,,,MUHLENBERGIA CAPILLARIS VAR. FILIPES,MUHCAPFIL,
F1,1,1,2,1,A,F1_1_1_2_1_A,PHYLLANTHUS SP         ,PHYLLANTHUS SPP,PHYSPP,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,PROSERPINACA PALUSTRIS     ,PROSERPINACA PALUSTRIS,PROPAL,6,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,RHYNCHOSPORA DIVERGENS     ,RHYNCHOSPORA DIVERGENS,RHYDIV,2,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,RHYNCHOSPORA MICROCARPA    ,RHYNCHOSPORA MICROCARPA,RHYMIC,3,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,RHYNCHOSPORA TRACYI,RHYNCHOSPORA TRACYI,RHYTRA,2,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,RUELLIA CAROLINIENSIS     ,RUELLIA CAROLINIENSIS,RUECAR,32,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,SALIX CAROLINIANA       ,SALIX CAROLINIANA,SALCAR,50,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,SCHINUS TEREBINTHIFOLIUS    ,SCHINUS TEREBINTHIFOLIUS,SCHTER,3,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,SISYRINCHIUM MIAMIENSE     ,SISYRINCHIUM MIAMIENSE,SISMIA,58,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,TEUCRIUM CANADENSE       ,TEUCRIUM CANADENSE,TEUCAN,51,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,A,F1_1_1_2_1_A,UNKN GRASS F111,UNKN GRASS F111,,13,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,3,A,F1_1_1_2_3_A,PLUCHEA ROSEA         ,PLUCHEA ROSEA,PLUROS,1,02/02/98,1998-02-02,,,,,PLUCHEA BACCHARIS,PLUBAC,
F1,1,1,2,3,A,F1_1_1_2_3_A,ASTER DUMOSUS         ,ASTER DUMOSUS,ASTDUM,6,02/02/98,1998-02-02,,,,,SYMPHYOTRICHUM DUMOSUM,SYMDUM,
F1,1,1,2,0.1,B,F1_1_1_2_0.1_B,EUPATORIUM COELESTINUM   ,EUPATORIUM COELESTINUM,EUPCOE,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.1,B,F1_1_1_2_0.1_B,CLADIUM JAMAICENSE       ,CLADIUM JAMAICENSE,CLAJAM,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.1,B,F1_1_1_2_0.1_B,DIODIA VIRGINIANA       ,DIODIA VIRGINIANA,DIOVIR,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.1,B,F1_1_1_2_0.1_B,HYPERICUM HYPERICOIDES     ,HYPERICUM HYPERICOIDES,HYPHYP,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.1,B,F1_1_1_2_0.1_B,HYPTIS ALATA          ,HYPTIS ALATA,HYPALA,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.1,B,F1_1_1_2_0.1_B,JUSTICIA OVATA         ,JUSTICIA OVATA,JUSOVA,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.1,B,F1_1_1_2_0.1_B,LUDWIGIA MICROCARPA      ,LUDWIGIA MICROCARPA,LUDMIC,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.1,B,F1_1_1_2_0.1_B,MELANTHERA PARVIFOLIA     ,MELANTHERA PARVIFOLIA,MELPAR,1,02/02/98,1998-02-02,,,,,MELANTHERA NIVEA,MELNIV,
F1,1,1,2,0.1,B,F1_1_1_2_0.1_B,ASTER DUMOSUS         ,ASTER DUMOSUS,ASTDUM,1,02/02/98,1998-02-02,,,,,SYMPHYOTRICHUM DUMOSUM,SYMDUM,
F1,1,1,2,0.1,B,F1_1_1_2_0.1_B,MUHLENBERGIA FILIPES      ,MUHLENBERGIA FILIPES,MUHFIL,1,02/02/98,1998-02-02,,,,,MUHLENBERGIA CAPILLARIS VAR. FILIPES,MUHCAPFIL,
F1,1,1,2,0.1,B,F1_1_1_2_0.1_B,OXYPOLIS FILIFORMIS      ,OXYPOLIS FILIFORMIS,OXYFIL,1,02/02/98,1998-02-02,,,,,TIEDEMANNIA FILIFORMIS SUBSP. FILIFORMIS,TIEFILFIL,
F1,1,1,2,0.1,B,F1_1_1_2_0.1_B,PROSERPINACA PALUSTRIS     ,PROSERPINACA PALUSTRIS,PROPAL,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.1,B,F1_1_1_2_0.1_B,RUELLIA CAROLINIENSIS     ,RUELLIA CAROLINIENSIS,RUECAR,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.1,B,F1_1_1_2_0.1_B,SISYRINCHIUM MIAMIENSE     ,SISYRINCHIUM MIAMIENSE,SISMIA,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.1,B,F1_1_1_2_0.1_B,DICHROMENA COLORATA      ,DICHROMENA COLORATA,DICCOL,1,02/02/98,1998-02-02,,,,,RHYNCHOSPORA COLORATA,RHYCOL,
F1,1,1,2,0.3,B,F1_1_1_2_0.3_B,EUPATORIUM COELESTINUM   ,EUPATORIUM COELESTINUM,EUPCOE,6,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,B,F1_1_1_2_0.3_B,ASTER DUMOSUS         ,ASTER DUMOSUS,ASTDUM,4,02/02/98,1998-02-02,,,,,SYMPHYOTRICHUM DUMOSUM,SYMDUM,
F1,1,1,2,0.3,B,F1_1_1_2_0.3_B,CLADIUM JAMAICENSE       ,CLADIUM JAMAICENSE,CLAJAM,3,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,B,F1_1_1_2_0.3_B,DICHROMENA COLORATA      ,DICHROMENA COLORATA,DICCOL,2,02/02/98,1998-02-02,,,,,RHYNCHOSPORA COLORATA,RHYCOL,
F1,1,1,2,0.3,B,F1_1_1_2_0.3_B,DIODIA VIRGINIANA       ,DIODIA VIRGINIANA,DIOVIR,5,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,B,F1_1_1_2_0.3_B,HYPERICUM HYPERICOIDES     ,HYPERICUM HYPERICOIDES,HYPHYP,3,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,B,F1_1_1_2_0.3_B,HYPTIS ALATA          ,HYPTIS ALATA,HYPALA,5,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,B,F1_1_1_2_0.3_B,JUSTICIA OVATA         ,JUSTICIA OVATA,JUSOVA,4,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,B,F1_1_1_2_0.3_B,LUDWIGIA MICROCARPA      ,LUDWIGIA MICROCARPA,LUDMIC,7,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,B,F1_1_1_2_0.3_B,MELANTHERA PARVIFOLIA     ,MELANTHERA PARVIFOLIA,MELPAR,2,02/02/98,1998-02-02,,,,,MELANTHERA NIVEA,MELNIV,
F1,1,1,2,0.3,B,F1_1_1_2_0.3_B,MIKANIA SCANDENS        ,MIKANIA SCANDENS,MIKSCA,2,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,B,F1_1_1_2_0.3_B,MUHLENBERGIA FILIPES      ,MUHLENBERGIA FILIPES,MUHFIL,8,02/02/98,1998-02-02,,,,,MUHLENBERGIA CAPILLARIS VAR. FILIPES,MUHCAPFIL,
F1,1,1,2,0.3,B,F1_1_1_2_0.3_B,OXYPOLIS FILIFORMIS      ,OXYPOLIS FILIFORMIS,OXYFIL,3,02/02/98,1998-02-02,,,,,TIEDEMANNIA FILIFORMIS SUBSP. FILIFORMIS,TIEFILFIL,
F1,1,1,2,0.3,B,F1_1_1_2_0.3_B,PLUCHEA ROSEA         ,PLUCHEA ROSEA,PLUROS,2,02/02/98,1998-02-02,,,,,PLUCHEA BACCHARIS,PLUBAC,
F1,1,1,2,0.3,B,F1_1_1_2_0.3_B,PROSERPINACA PALUSTRIS     ,PROSERPINACA PALUSTRIS,PROPAL,7,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,B,F1_1_1_2_0.3_B,RUELLIA CAROLINIENSIS     ,RUELLIA CAROLINIENSIS,RUECAR,4,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,B,F1_1_1_2_0.3_B,SISYRINCHIUM MIAMIENSE     ,SISYRINCHIUM MIAMIENSE,SISMIA,8,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,B,F1_1_1_2_1_B,ACACIA PINETORUM        ,ACACIA PINETORUM,ACAPIN,1,02/02/98,1998-02-02,,,,,VACHELLIA FARNESIANA VAR. PINETORUM,VACFARPIN,
F1,1,1,2,1,B,F1_1_1_2_1_B,EUPATORIUM COELESTINUM   ,EUPATORIUM COELESTINUM,EUPCOE,57,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,B,F1_1_1_2_1_B,ASTER DUMOSUS         ,ASTER DUMOSUS,ASTDUM,66,02/02/98,1998-02-02,,,,,SYMPHYOTRICHUM DUMOSUM,SYMDUM,
F1,1,1,2,1,B,F1_1_1_2_1_B,CENTELLA ASIATICA       ,CENTELLA ASIATICA,CENASI,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,B,F1_1_1_2_1_B,CHLORIS RADIATA        ,CHLORIS RADIATA,CHLRAD,2,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,B,F1_1_1_2_1_B,CLADIUM JAMAICENSE       ,CLADIUM JAMAICENSE,CLAJAM,48,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,B,F1_1_1_2_1_B,CYNOCTONUM MITREOLA         ,CYNOCTONUM MITREOLA,CYNMIT,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,B,F1_1_1_2_1_B,DICHANTHELIUM ACICULARE        ,DICHANTHELIUM ACICULARE,DICACI,2,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,B,F1_1_1_2_1_B,DICHROMENA COLORATA      ,DICHROMENA COLORATA,DICCOL,17,02/02/98,1998-02-02,,,,,RHYNCHOSPORA COLORATA,RHYCOL,
F1,1,1,2,1,B,F1_1_1_2_1_B,DIODIA VIRGINIANA       ,DIODIA VIRGINIANA,DIOVIR,29,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,B,F1_1_1_2_1_B,ELYTRARIA CAROLINIENSIS    ,ELYTRARIA CAROLINIENSIS,ELYCAR,3,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,B,F1_1_1_2_1_B,ERIGERON QUERCIFOLIUS     ,ERIGERON QUERCIFOLIUS,ERIQUE,2,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,B,F1_1_1_2_1_B,HYPERICUM HYPERICOIDES     ,HYPERICUM HYPERICOIDES,HYPHYP,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,B,F1_1_1_2_1_B,HYPTIS ALATA          ,HYPTIS ALATA,HYPALA,32,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,B,F1_1_1_2_1_B,IPOMOEA SAGITTATA       ,IPOMOEA SAGITTATA,IPOSAG,17,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,B,F1_1_1_2_1_B,JUSTICIA OVATA         ,JUSTICIA OVATA,JUSOVA,59,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,B,F1_1_1_2_1_B,LUDWIGIA MICROCARPA      ,LUDWIGIA MICROCARPA,LUDMIC,26,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,B,F1_1_1_2_1_B,MELANTHERA PARVIFOLIA     ,MELANTHERA PARVIFOLIA,MELPAR,61,02/02/98,1998-02-02,,,,,MELANTHERA NIVEA,MELNIV,
F1,1,1,2,1,B,F1_1_1_2_1_B,MIKANIA SCANDENS        ,MIKANIA SCANDENS,MIKSCA,11,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,B,F1_1_1_2_1_B,MUHLENBERGIA FILIPES      ,MUHLENBERGIA FILIPES,MUHFIL,70,02/02/98,1998-02-02,,,,,MUHLENBERGIA CAPILLARIS VAR. FILIPES,MUHCAPFIL,
F1,1,1,2,1,B,F1_1_1_2_1_B,PLUCHEA ROSEA         ,PLUCHEA ROSEA,PLUROS,9,02/02/98,1998-02-02,,,,,PLUCHEA BACCHARIS,PLUBAC,
F1,1,1,2,1,B,F1_1_1_2_1_B,PROSERPINACA PALUSTRIS     ,PROSERPINACA PALUSTRIS,PROPAL,66,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,B,F1_1_1_2_1_B,RUELLIA CAROLINIENSIS     ,RUELLIA CAROLINIENSIS,RUECAR,23,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,B,F1_1_1_2_1_B,SALIX CAROLINIANA       ,SALIX CAROLINIANA,SALCAR,50,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,B,F1_1_1_2_1_B,SISYRINCHIUM MIAMIENSE     ,SISYRINCHIUM MIAMIENSE,SISMIA,25,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,1,B,F1_1_1_2_1_B,LUDWIGIA CURTISSII,LUDWIGIA CURTISSII,LUDCUR,2,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,3,B,F1_1_1_2_3_B,ANDROPOGON GLOMERATUS     ,ANDROPOGON GLOMERATUS,ANDGLO,3,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,3,B,F1_1_1_2_3_B,BUMELIA RECLINATA       ,BUMELIA RECLINATA,BUMREC,150,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,3,B,F1_1_1_2_3_B,LOBELIA GLANDULOSA       ,LOBELIA GLANDULOSA,LOBGLA,2,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,3,B,F1_1_1_2_3_B,PERSEA BORBONIA        ,PERSEA BORBONIA,PERBOR,1,02/02/98,1998-02-02,,,,,PERSEA BORBONIA VAR. BORBONIA,PERBORBOR,
F1,1,1,2,3,B,F1_1_1_2_3_B,POLYGONUM HYDROPIPEROIDES   ,POLYGONUM HYDROPIPEROIDES,POLHYD,8,02/02/98,1998-02-02,,,,,PERSICARIA HYDROPIPEROIDES,PERHYD,
F1,1,1,2,3,B,F1_1_1_2_3_B,SPILANTHES AMERICANA         ,SPILANTHES AMERICANA,SPIAME,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,3,B,F1_1_1_2_3_B,TEUCRIUM CANADENSE       ,TEUCRIUM CANADENSE,TEUCAN,3,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,10,I,F1_1_1_2_10_I,FUIRENA BREVISETA       ,FUIRENA BREVISETA,FUIBRE,5,03/06/98,1998-03-06,,,,,,,
F1,1,1,2,10,I,F1_1_1_2_10_I,ILEX CASSINE          ,ILEX CASSINE,ILECAS,40,03/06/98,1998-03-06,,,,,ILEX CASSINE VAR. CASSINE,ILECASCAS,
F1,1,1,2,10,I,F1_1_1_2_10_I,LUDWIGIA REPENS        ,LUDWIGIA REPENS,LUDREP,466,03/06/98,1998-03-06,,,,,,,
F1,1,1,2,10,I,F1_1_1_2_10_I,MYRICA CERIFERA        ,MYRICA CERIFERA,MYRCER,3,03/06/98,1998-03-06,,,,,,,
F1,1,1,2,10,I,F1_1_1_2_10_I,PANICUM VIRGATUM        ,PANICUM VIRGATUM,PANVIR,51,03/06/98,1998-03-06,,,,,,,
F1,1,1,2,10,I,F1_1_1_2_10_I,PERSEA BORBONIA        ,PERSEA BORBONIA,PERBOR,300,03/06/98,1998-03-06,,,,,PERSEA BORBONIA VAR. BORBONIA,PERBORBOR,
F1,1,1,2,10,I,F1_1_1_2_10_I,POLYGALA GRANDIFLORA      ,POLYGALA GRANDIFLORA,POLGRA,3,03/06/98,1998-03-06,,,,,ASEMEIA VIOLACEA,ASEVIO,
